Starttime,Endtime,Hall,Production
2006-10-17 20:00:00,1970-01-01 00:00:00,Domzaal,5739
2006-10-17 20:00:00,1970-01-01 00:00:00,Domzaal,5745
2006-10-17 22:30:00,1970-01-01 00:00:00,Domzaal,5725
2006-10-18 14:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-18 14:30:00,1970-01-01 00:00:00,Theaterzaal,5659
2006-10-18 17:00:00,1970-01-01 00:00:00,Domzaal,5719
2006-10-18 18:00:00,2006-10-18 00:00:00,Mokabon,5633
2006-10-18 18:00:00,2006-10-18 00:00:00,Dansstudio,5635
2006-10-18 18:00:00,2006-10-18 00:00:00,Antiekzolder,5637
2006-10-18 18:00:00,2006-10-18 00:00:00,Zolder,5639
2006-10-18 18:00:00,2006-10-18 00:00:00,Naaikamertje,5641
2006-10-18 18:00:00,2006-10-18 00:00:00,Foyer Domzaal,5643
2006-10-18 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-18 19:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-18 20:00:00,1970-01-01 00:00:00,Theaterzaal,5527
2006-10-18 20:00:00,1970-01-01 00:00:00,Balzaal,5669
2006-10-18 20:00:00,1970-01-01 00:00:00,Domzaal,5735
2006-10-18 20:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-18 22:00:00,1970-01-01 00:00:00,Café,5649
2006-10-18 22:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-18 22:30:00,1970-01-01 00:00:00,Domzaal,5741
2006-10-19 14:30:00,1970-01-01 00:00:00,Theaterzaal,5665
2006-10-19 15:00:00,1970-01-01 00:00:00,Theaterzaal,5671
2006-10-19 17:00:00,1970-01-01 00:00:00,Domzaal,5723
2006-10-19 18:00:00,2006-10-19 00:00:00,Mokabon,5633
2006-10-19 18:00:00,2006-10-19 00:00:00,Dansstudio,5635
2006-10-19 18:00:00,2006-10-19 00:00:00,Antiekzolder,5637
2006-10-19 18:00:00,2006-10-19 00:00:00,Zolder,5639
2006-10-19 18:00:00,2006-10-19 00:00:00,Naaikamertje,5641
2006-10-19 18:00:00,2006-10-19 00:00:00,Foyer Domzaal,5643
2006-10-19 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-19 19:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-19 20:00:00,1970-01-01 00:00:00,Theaterzaal,5671
2006-10-19 20:00:00,1970-01-01 00:00:00,Domzaal,5719
2006-10-19 20:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-19 22:00:00,1970-01-01 00:00:00,Café,5651
2006-10-19 22:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-19 22:30:00,1970-01-01 00:00:00,Domzaal,5713
2006-10-20 14:30:00,1970-01-01 00:00:00,Domzaal,5725
2006-10-20 17:00:00,1970-01-01 00:00:00,Domzaal,5735
2006-10-20 18:00:00,2006-10-20 00:00:00,Mokabon,5633
2006-10-20 18:00:00,2006-10-20 00:00:00,Dansstudio,5635
2006-10-20 18:00:00,2006-10-20 00:00:00,Antiekzolder,5637
2006-10-20 18:00:00,2006-10-20 00:00:00,Zolder,5639
2006-10-20 18:00:00,2006-10-20 00:00:00,Naaikamertje,5641
2006-10-20 18:00:00,2006-10-20 00:00:00,Foyer Domzaal,5643
2006-10-20 18:00:00,1970-01-01 00:00:00,Vooruit,5677
2006-10-20 19:00:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
2006-10-20 20:00:00,1970-01-01 00:00:00,Minard,5529
2006-10-20 20:00:00,1970-01-01 00:00:00,Theaterzaal,5673
2006-10-20 20:00:00,1970-01-01 00:00:00,Domzaal,5731
2006-10-20 20:30:00,1970-01-01 00:00:00,Foyer Theaterzaal ,5655
